Scientific name,Latitude,Longitude
Bursera simaruba,20.95915,-89.63924
Citrus aurantium,20.95909,-89.63891
Citrus aurantium,20.95908,-89.63886
Citrus aurantium,20.95909,-89.63886
Ceiba pentandra,20.96013,-89.63969
Cassia fistula,20.96013,-89.63985
Ficus variegata,20.95904,-89.63264
Ficus variegata,20.95908,-89.63269
Ficus macrocarpa,20.95915,-89.63258
Ficus macrocarpa,20.95909,-89.63248
Ficus macrocarpa,20.959,-89.63248
Ficus macrocarpa,20.958595,-89.63257
Tecoma stans,20.95864,-89.63239
Adonidia merrilli,20.95835,-89.63245
Adonidia merrilli,20.95836,-89.63245
Adonidia merrilli,20.95835,-89.63246
Ficus macrocarpa,20.95829,-89.63254
Ficus macrocarpa,20.95167,-89.64334
Ficus macrocarpa,20.9517,-89.64335
Ficus macrocarpa,20.95171,-89.64335
Ficus macrocarpa,20.95182,-89.64337
Thrinax radiata,20.95182,-89.64333
Thrinax radiata,20.95187,-89.64321
Ficus macrocarpa,20.95186,-89.6432
Ficus macrocarpa,20.95188,-89.64319
Thrinax radiata,20.95189,-89.64318
Piscidia piscipula,20.9519,-89.6432
Murraya paniculata,20.95191,-89.6432
Thrinax radiata,20.95197,-89.64321
Thrinax radiata,20.95197,-89.64321
Thrinax radiata,20.95199,-89.64321
Ficus macrocarpa,20.95201,-89.64317
Ficus macrocarpa,20.95201,-89.64314
Sabal mexicana,20.95206,-89.64312
Sabal mexicana,20.95206,-89.64311
Trema micrantha,20.95207,-89.6431
Trema micrantha,20.95212,-89.64303
Trema micrantha,20.95215,-89.64294
Thrinax radiata,20.95212,-89.64288
Thrinax radiata,20.95212,-89.64289
Sabal mexicana,20.95214,-89.64289
Sabal mexicana,20.95211,-89.64283
Thrinax radiata,20.95211,-89.64281
Thrinax radiata,20.9521,-89.64284
Thrinax radiata,20.95208,-89.64284
Thrinax radiata,20.95208,-89.64284
Thrinax radiata,20.95206,-89.64282
Thrinax radiata,20.95205,-89.64284
Ficus variegata,20.95202,-89.64285
Sabal mexicana,20.95201,-89.64285
Thrinax radiata,20.95181,-89.64296
Ficus variegata,20.95181,-89.64301
Thrinax radiata,20.95174,-89.64311
Ficus macrocarpa,20.95173,-89.64316
Thrinax radiata,20.95178,-89.64317
Thrinax radiata,20.95177,-89.64318
Ficus macrocarpa,20.95182,-89.64321
Tabebuia rosea,20.95186,-89.64318
Ficus variegata,20.95186,-89.64317
Ficus macrocarpa,20.95186,-89.64316
Thrinax radiata,20.95188,-89.64308
Thrinax radiata,20.95189,-89.64308
Thrinax radiata,20.95186,-89.6431
Ficus macrocarpa,20.95187,-89.64305
Ficus macrocarpa,20.9519,-89.64304
Thrinax radiata,20.95197,-89.64307
Brosimum alicastrum,20.96709,-89.64417
Delonix regia,20.96719,-89.6442
Ficus,20.96707,-89.64433
Citrus aurantium,20.96705,-89.6443
Leucaena leucocephala,20.96708,-89.64433
Brosimum alicastrum,20.96709,-89.64439
Leucaena leucocephala,20.9671,-89.64438
Leucaena leucocephala,20.96725,-89.64438
Samanea saman,20.96737,-89.64422
Azadirachta indica,20.9674,-89.64421
Brosimum alicastrum,20.96744,-89.64421
Brosimum alicastrum,20.96748,-89.64423
Ficus,20.96759,-89.64424
Azadirachta indica,20.96766,-89.64424
Adonidia merrilli,20.96784,-89.645
Adonidia merrilli,20.96784,-89.64502
Adonidia merrilli,20.96784,-89.64502
Adonidia merrilli,20.96783,-89.64505
Ficus,20.96783,-89.64508
Magnoliopsida,20.96763,-89.64516
Magnoliopsida,20.96766,-89.64514
Magnoliopsida,20.96765,-89.64513
Magnoliopsida,20.96759,-89.64514
Magnoliopsida,20.96758,-89.64513
Adonidia merrilli,20.96745,-89.64515
Adonidia merrilli,20.96741,-89.64515
Magnoliopsida,20.96721,-89.64494
Magnoliopsida,20.96723,-89.64494
Magnoliopsida,20.96725,-89.64491
Magnoliopsida,20.96725,-89.64486
Tecoma stans,20.96725,-89.64479
Magnoliopsida,20.94452,-89.65149
Plumeria rubra,20.94447,-89.6515
Tabebuia rosea,20.9444,-89.65154
Tabebuia rosea,20.94444,-89.65157
Tecoma stans,20.94453,-89.6516
Ficus,20.944456,-89.65173
Magnoliopsida,20.94463,-89.65169
Plumeria rubra,20.94482,-89.65165
Cocos nucifera,20.94482,-89.65167
Plumeria rubra,20.94481,-89.65169
Plumeria rubra,20.94481,-89.65171
Casuarina equisetifolia,20.94476,-89.65178
Ceiba pentandra,20.94472,-89.65182
Muntingia calabura,20.94463,-89.65182
Ficus,20.94465,-89.65198
Yucca,20.946,-89.64661
Yucca,20.94594,-89.64657
Ficus,20.94596,-89.64657
Ficus,20.94593,-89.6466
Samanea saman,20.94588,-89.64662
Ficus,20.9459,-89.64668
Ficus,20.94588,-89.6467
